Test Chi Quadro Gaussiana_____________________________________________
   x       y       y*      sy      Chi     
580579.00  38.18   40.57   0.29    68.12   
581580.00  36.99   40.59   0.29    154.94  
582581.00  37.42   40.61   0.29    122.29  
583582.00  37.49   40.63   0.29    118.41  
584583.00  36.81   40.65   0.29    176.69  
585584.00  37.22   40.67   0.29    142.87  
586585.00  37.35   40.69   0.29    133.64  
587586.00  36.73   40.71   0.29    189.91  
588587.00  35.45   40.73   0.29    334.09  
589588.00  34.86   40.74   0.29    415.33  
590589.00  34.20   40.76   0.29    516.83  
591590.00  33.37   40.78   0.29    657.72  
592591.00  33.50   40.79   0.29    638.06  
593592.00  33.06   40.81   0.29    720.94  
594593.00  33.01   40.82   0.29    731.85  
595594.00  32.52   40.84   0.29    829.98  
596595.00  32.34   40.85   0.29    869.87  
597596.00  31.60   40.87   0.29    1029.71 
598597.00  31.86   40.88   0.29    977.18  
599598.00  31.66   40.89   0.29    1022.40 
600599.00  31.07   40.90   0.29    1161.57 
601600.00  29.73   40.92   0.29    1502.66 
602601.00  30.25   40.93   0.29    1366.65 
603602.00  30.37   40.94   0.29    1339.91 
604603.00  30.66   40.95   0.29    1270.73 
605604.00  30.51   40.96   0.29    1308.89 
606605.00  30.87   40.96   0.29    1222.57 
607606.00  30.63   40.97   0.29    1284.43 
608607.00  30.85   40.98   0.29    1230.55 
609608.00  30.77   40.99   0.29    1254.03 
610609.00  31.04   40.99   0.29    1189.67 
611610.00  31.67   41.00   0.29    1044.91 
612611.00  32.28   41.01   0.29    913.05  
613612.00  31.54   41.01   0.29    1075.64 
614613.00  31.08   41.02   0.29    1185.97 
615614.00  30.12   41.02   0.29    1425.63 
616615.00  31.42   41.02   0.29    1107.67 
617616.00  31.36   41.03   0.29    1120.39 
618617.00  31.97   41.03   0.29    984.24  
619618.00  31.59   41.03   0.29    1070.51 
