Test Chi Quadro massimo_____________________________________________
   x       y       y*      sy      Chi     
35 1034.00 4.02    3.95    0.20    0.13    
36 1035.00 4.05    3.79    0.20    1.57    
37 1036.00 3.51    3.65    0.18    0.67    
38 1037.00 3.51    3.51    0.18    0.00    
39 1038.00 3.10    3.38    0.16    3.34    
40 1039.00 3.33    3.26    0.17    0.14    
41 1040.00 2.85    3.15    0.14    4.40    
42 1041.00 3.24    3.05    0.16    1.34    
43 1042.00 3.03    2.95    0.15    0.29    
44 1043.00 3.16    2.87    0.16    3.42    
45 1044.00 2.54    2.79    0.13    3.75    
46 1045.00 2.79    2.72    0.14    0.26    
47 1046.00 2.50    2.66    0.12    1.62    
48 1047.00 2.65    2.60    0.13    0.13    
49 1048.00 1.92    2.56    0.10    44.90   
50 1049.00 2.53    2.52    0.13    0.00    
51 1050.00 2.11    2.50    0.11    13.74   
52 1051.00 2.57    2.48    0.13    0.54    
53 1052.00 2.16    2.47    0.11    7.87    
54 1053.00 2.55    2.46    0.13    0.45    
55 1054.00 2.23    2.47    0.11    4.56    
56 1055.00 2.68    2.49    0.13    2.08    
57 1056.00 2.47    2.51    0.12    0.08    
58 1057.00 2.60    2.54    0.13    0.21    
59 1058.00 2.04    2.58    0.10    27.50   
60 1059.00 3.00    2.63    0.15    6.27    
61 1060.00 3.11    2.68    0.16    7.45    
62 1061.00 3.56    2.75    0.18    20.67   
63 1062.00 3.20    2.82    0.16    5.51    
64 1063.00 3.62    2.91    0.18    15.72   
65 1064.00 3.24    3.00    0.16    2.27    
66 1065.00 3.41    3.09    0.17    3.46    
67 1066.00 3.16    3.20    0.16    0.07    
68 1067.00 3.65    3.32    0.18    3.41    
69 1068.00 3.63    3.44    0.18    1.12    
70 1069.00 4.13    3.57    0.21    7.27    
71 1070.00 3.85    3.71    0.19    0.51    
72 1071.00 4.41    3.86    0.22    6.08    
73 1072.00 4.27    4.02    0.21    1.37    
74 1073.00 4.92    4.19    0.25    8.94    
75 1074.00 4.72    4.36    0.24    2.29    
76 1075.00 5.35    4.55    0.27    9.02    
77 1076.00 5.21    4.74    0.26    3.26    
78 1077.00 5.29    4.94    0.26    1.75    
79 1078.00 4.99    5.15    0.25    0.41    
80 1079.00 5.42    5.36    0.27    0.05    
81 1080.00 5.16    5.59    0.26    2.80    
82 1081.00 6.00    5.82    0.30    0.37    
83 1082.00 6.09    6.06    0.30    0.01    
84 1083.00 6.25    6.31    0.31    0.04    
85 1084.00 5.76    6.57    0.29    7.94    
86 1085.00 6.09    6.84    0.30    6.09    
87 1086.00 6.35    7.12    0.32    5.74    
88 1087.00 6.80    7.40    0.34    3.14    
89 1088.00 6.95    7.69    0.35    4.61    
90 1089.00 7.19    7.99    0.36    4.93    
