f(kHz),Vout(V),phi(°),Vin(V),sVin(V),Vin_MC(V),sVin_MC_gauss(V),sVin_MC_unif(V)
70.5,0.96,-23.3,2.888932129093122,0.9615516107241856,3.038874622856381,0.6224841251380094,0.4134975567110344
71.0,0.976,-18.8,2.7164271374465594,0.9860943741597672,2.913945920729104,0.5712529774971158,0.3703208524900769
71.5,0.976,-12.8,2.567057759094592,1.0075851370901872,2.811991858972999,0.5160641641306865,0.3142750518724577
72.0,0.976,-7.8,2.4476645514719486,1.025718156538837,2.7343104687498903,0.4631810785687195,0.2481538455092087
72.1,0.976,-7.8,2.427966817572192,1.0289194885072597,2.7223857037248926,0.4538733659831034,0.2344498259025277
72.2,0.976,-6.7,2.409775888642917,1.0319751373536727,2.710620563716175,0.4443536086942391,0.2202211478097885
72.3,0.976,-4.7,2.393135223157865,1.0348836686521612,2.700659328503071,0.4361605322128979,0.2063138769058615
72.4,0.976,-4.2,2.3780850339891706,1.0376437763406992,2.6919124609942937,0.428688756025706,0.1923611940507668
72.5,0.976,-6.2,2.3646618957212766,1.0402542846680625,2.683686692353901,0.4212926428338612,0.1789970250103891
72.6,0.976,-5.2,2.35289837005218,1.0427141498548431,2.677230587215412,0.4153817397271606,0.1662527357722213
72.7,0.976,-3.7,2.342822657590375,1.0450224614636503,2.671670628331551,0.4100362614289838,0.1541340336349203
72.8,0.976,-3.1,2.3344582842890267,1.0471784434747538,2.666752745101886,0.4055058453700847,0.1435450403896627
72.9,0.976,-1.6,2.327823830366294,1.0491814550646872,2.663461404928943,0.4022964687074553,0.1343273103333113
73.0,0.976,2.6,2.322932708832796,1.051030991086494,2.660779948937352,0.39997722351843,0.1269645202011626
73.1,0.976,4.2,2.3197929996951987,1.052726682251566,2.660027679406632,0.398657661151224,0.1222863495524949
73.2,0.976,4.7,2.3184073445626643,1.0542682950142144,2.659840491019991,0.3985970372184269,0.120103141174171
73.3,0.976,6.3,2.318772904805229,1.0556557311613164,2.6604704680298426,0.3994839014844675,0.1211201069969269
73.4,0.976,6.9,2.320881384672794,1.0568890271105753,2.6625922423602844,0.4014942877502652,0.1246686322265448
73.5,0.976,8.5,2.324719118966172,1.0579683529220565,2.66586022823245,0.4047243578790189,0.130910410082995
74.0,0.976,13.3,2.369016067679987,1.0610705543041614,2.697108569789652,0.4340372453951754,0.1877486136012904
74.5,0.976,18.2,2.451814062859953,1.060422886293613,2.753759731963662,0.4820514732996346,0.2593973809129883
75.0,0.976,23.2,2.567064713064932,1.0561846758857325,2.832627667049422,0.5378012167486051,0.3278416233392207
75.5,0.976,23.3,2.7078815967779124,1.0485789320996668,2.931464801302513,0.5960626352178103,0.3871661050522784
76.0,0.96,27.3,2.867523659167861,1.037879730913702,3.047104749193488,0.6506491017106053,0.4358199069240016
76.5,0.96,30.3,3.039981196502949,1.0243984487759628,3.1765198704526147,0.6990204084947862,0.4727277853325903
77.0,0.96,33.7,3.2202115572639465,1.008469904434505,3.315838904013119,0.7402469142254213,0.499189528096599
77.5,0.944,40.1,3.404152460027628,0.9904393105711288,3.4635489895012586,0.772667959377507,0.5145819318520505
78.0,0.936,42.7,3.588626117957241,0.9706507117455088,3.6163338853691847,0.7963646631315902,0.5237018633209621
78.5,0.928,45.7,3.7712057081795582,0.949437336459406,3.7717718170751207,0.8123133061178497,0.524892881002937
79.0,0.912,46.7,3.950080788369363,0.9271140550158502,3.9281397396443127,0.8202170078392278,0.5209996916382641
79.5,0.912,49.5,4.12393689364168,0.9039719362931388,4.082819438021391,0.8215941468749565,0.513495616746244
80.0,0.896,51.2,4.291853623789872,0.8802747483695692,4.236244929847978,0.8170855290487287,0.5031610384415605
80.5,0.896,53.4,4.453220728072012,0.8562571523641461,4.385663744116331,0.8075807370406586,0.4898696961914981
81.0,0.88,56.0,4.607669973417902,0.8321242906460415,4.531086607931417,0.7940831546556364,0.4751425253202982
81.5,0.864,57.3,4.755020237360815,0.808052460263845,4.672573176975434,0.7766724217143074,0.458232585307108
82.0,0.864,59.0,4.89523345669166,0.7841905792254377,4.808717055970718,0.7569460111515426,0.4424764077672495
82.5,0.848,58.8,5.028379409629848,0.7606621868888223,4.938512893694747,0.7360484604174172,0.4255329728295733
83.0,0.84,60.4,5.154607662024743,0.737567761692129,5.063210186869864,0.7129515938894041,0.4081054243851579
83.5,0.832,60.7,5.27412531646578,0.7149871833907288,5.182220904065354,0.6894496318410706,0.39155858646734
84.0,0.824,63.1,5.387179457954662,0.6929822086077592,5.295693889327118,0.6649469045246289,0.3747227538552621
89.0,0.7,71.4,6.225069093578125,0.5094943092171185,6.156536853250192,0.4395465390141836,0.2379034288305797
94.0,0.62,71.2,6.706549404096001,0.3863104924380592,6.661413305012582,0.2887988623103897,0.1544848151321885
99.0,0.56,73.7,6.998317317260496,0.3042220404744026,6.96842867168992,0.1972952991887381,0.1057194325134838
104.0,0.5,75.2,7.185978820945728,0.2478344183148982,7.165434518657831,0.1411460211888572,0.0761464469025721
109.0,0.46,0.0,7.313217250006501,0.207642044144179,7.298519395831898,0.1053225870325792,0.0569810585526516
114.0,0.42,0.0,7.4033815437993775,0.1779773917351796,7.3924803455842065,0.0812956621415503,0.0443082908636643
119.0,0.38,0.0,7.469651676679117,0.1554015575263157,7.461153655963874,0.0647901710054128,0.0353638929844759
124.0,0.34,0.0,7.519859541435105,0.1377614013659715,7.513241458137815,0.0527432658072836,0.0289159011925029
