pixel,grigio
603,51.6275
604,52.4319
605,53.0939
606,53.7496
607,54.3490
608,54.6737
609,55.3764
610,56.1088
611,56.6064
612,57.1369
613,57.7433
614,58.1745
615,58.6800
616,59.5869
617,60.2340
618,61.0532
619,61.6573
620,62.0751
621,62.2887
622,63.0728
623,63.9523
624,64.5297
625,64.8779
626,65.2684
627,65.3951
628,66.1307
629,67.0149
630,67.7480
631,68.0313
632,68.5446
633,68.8975
634,69.4390
635,69.6995
636,70.2872
637,70.8803
638,71.3756
639,71.7058
640,72.2520
641,72.6690
642,72.9961
643,73.4053
644,73.9069
645,74.6174
646,75.0070
647,75.1761
648,75.4898
649,76.0579
650,76.3028
651,76.4538
652,76.7473
653,77.3365
654,77.6424
655,77.9171
656,78.0720
657,78.0900
658,78.5352
659,79.1205
660,79.2089
661,78.9210
662,79.0571
663,79.1745
664,79.3725
665,79.4617
666,79.3975
667,79.3333
668,79.5164
669,79.4515
670,79.7872
671,79.9765
672,80.1228
673,80.1049
674,80.1941
675,80.3216
676,80.2895
677,80.3005
678,80.5665
679,80.5188
680,80.7449
681,80.7903
682,80.8607
683,81.0329
684,80.7895
685,80.6761
686,80.6612
687,80.6768
688,80.7856
689,80.8451
690,80.8717
691,80.9382
692,80.9695
693,80.9084
694,80.9139
695,81.0211
696,81.1361
697,81.1166
698,80.9617
699,81.1111
700,80.9343
701,81.0618
702,81.1972
703,81.0070
704,80.8842
705,80.6377
706,80.6839
707,81.0798
708,81.3224
709,81.1393
710,81.0947
711,81.0274
712,80.9108
713,80.8599
714,81.0250
715,81.2394
716,81.1526
717,81.2081
718,81.0806
719,80.8928
720,80.6761
721,80.7207
722,80.5086
723,80.3075
724,80.6009
725,80.7011
726,80.8443
727,80.4984
728,80.2535
729,79.9844
730,79.9789
731,79.8803
732,79.7567
733,79.7222
734,79.6909
735,79.3138
736,79.3271
737,79.1385
738,79.1706
739,78.9820
740,78.7613
741,78.7191
742,78.3537
743,78.0376
744,77.8584
745,77.6847
746,77.4194
747,77.2856
748,76.9906
749,76.5446
750,76.0908
751,75.6706
752,75.5313
753,75.1260
754,74.8498
755,74.3818
756,74.1761
757,73.6338
758,73.1878
759,72.6565
760,72.4797
761,71.9562
762,71.4484
763,70.6401
764,70.3247
765,69.9233
766,69.5063
767,68.5743
768,68.1471
769,67.5782
770,67.4930
771,66.7559
772,66.7316
773,66.0595
774,65.8349
775,65.3873
776,64.6682
777,63.6878
778,63.1377
779,62.2457
780,61.9421
781,61.4875
782,61.3294
783,60.4264
784,59.6933
785,58.8052
786,58.4491
787,57.6925
788,57.3239
789,56.9859
790,56.5266
791,55.5798
792,54.9186
793,53.9671
794,53.5900
795,52.8693
796,52.6862
797,52.1009
798,51.5407
799,50.5736
800,49.9977
801,49.1823
802,48.8200
803,47.9718
804,47.5822
805,46.8615
806,46.3873
807,45.5008
808,44.9085
809,44.0767
810,43.6886
811,42.9131
812,42.5008
813,41.6448
814,41.3889
815,40.7371
816,40.2144
817,39.3967
818,38.8615
819,38.0516
820,37.5790
821,36.7034
822,36.2034
823,35.2692
824,34.8818
825,34.0344
826,33.6972
827,32.9257
828,32.4585
829,31.4742
830,30.9413
831,30.3983
832,30.1150
833,29.5047
834,28.9890
835,28.0563
836,27.3670
837,26.5117
838,26.5962
839,26.0915
840,25.7856
841,24.7222
842,24.3020
843,23.5227
844,23.1448
845,22.6925
846,22.5141
847,21.7637
848,21.2214
849,20.5266
850,20.2113
851,19.7355
852,19.6706
853,19.0587
854,18.9249
855,18.5775
856,18.2379
857,17.6189
858,17.4382
859,17.1495
860,16.8638
861,16.0649
862,15.6737
863,15.5642
864,15.5454
865,15.2167
866,15.3200
867,15.0305
868,14.9257
869,14.6510
870,14.6463
871,14.4382
872,14.5712
873,14.2496
874,14.2347
875,13.9491
876,14.2504
877,14.3889
878,14.6236
879,14.7324
