Test residui Andamento del Voltaggio_____________________________________________
   x       y       y*      res     s_res   
2520.00    0.04    0.05    -0.01   2.01    
2530.00    0.08    0.09    -0.01   2.02    
2540.00    0.16    0.13    0.03    2.05    
2550.00    0.20    0.18    0.02    2.06    
2560.00    0.24    0.22    0.02    2.07    
2570.00    0.28    0.26    0.02    2.08    
2580.00    0.32    0.30    0.02    2.10    
2590.00    0.36    0.34    0.02    2.11    
2600.00    0.40    0.39    0.01    2.12    
2610.00    0.44    0.43    0.01    2.13    
2620.00    0.48    0.47    0.01    2.14    
2630.00    0.52    0.51    0.01    2.16    
2640.00    0.56    0.55    0.01    2.17    
2650.00    0.60    0.59    0.01    2.18    
2660.00    0.60    0.62    -0.02   2.18    
2670.00    0.68    0.66    0.02    2.20    
2680.00    0.68    0.70    -0.02   2.20    
2690.00    0.72    0.74    -0.02   2.22    
2700.00    0.76    0.78    -0.02   2.23    
2710.00    0.80    0.81    -0.01   2.24    
2720.00    0.84    0.85    -0.01   2.25    
2730.00    0.88    0.88    -0.00   2.26    
2740.00    0.92    0.92    0.00    2.28    
2750.00    0.96    0.95    0.01    2.29    
2760.00    0.96    0.99    -0.03   2.29    
2770.00    1.00    1.02    -0.02   2.30    
2780.00    1.04    1.05    -0.01   2.31    
2790.00    1.08    1.08    -0.00   2.32    
2800.00    1.12    1.12    0.00    2.34    
2810.00    1.12    1.15    -0.03   2.34    
2820.00    1.16    1.18    -0.02   2.35    
2830.00    1.20    1.21    -0.01   2.36    
2840.00    1.24    1.24    0.00    2.37    
2850.00    1.24    1.27    -0.03   2.37    
2860.00    1.28    1.29    -0.01   2.38    
2870.00    1.32    1.32    -0.00   2.40    
2880.00    1.32    1.35    -0.03   2.40    
2890.00    1.36    1.37    -0.01   2.41    
2900.00    1.36    1.40    -0.04   2.41    
2910.00    1.40    1.42    -0.02   2.42    
2920.00    1.44    1.45    -0.01   2.43    
2930.00    1.44    1.47    -0.03   2.43    
2940.00    1.48    1.49    -0.01   2.44    
2950.00    1.48    1.52    -0.04   2.44    
2960.00    1.52    1.54    -0.02   2.46    
2970.00    1.56    1.56    0.00    2.47    
2980.00    1.56    1.58    -0.02   2.47    
2990.00    1.56    1.60    -0.04   2.47    
3000.00    1.60    1.62    -0.02   2.48    
3010.00    1.60    1.64    -0.04   2.48    
3020.00    1.64    1.65    -0.01   2.49    
3030.00    1.64    1.67    -0.03   2.49    
3040.00    1.64    1.68    -0.04   2.49    
3050.00    1.68    1.70    -0.02   2.50    
3060.00    1.68    1.71    -0.03   2.50    
3070.00    1.72    1.73    -0.01   2.52    
3080.00    1.72    1.74    -0.02   2.52    
3090.00    1.72    1.75    -0.03   2.52    
3100.00    1.76    1.77    -0.01   2.53    
3110.00    1.76    1.78    -0.02   2.53    
3120.00    1.76    1.79    -0.03   2.53    
3130.00    1.76    1.80    -0.04   2.53    
3140.00    1.80    1.81    -0.01   2.54    
3150.00    1.80    1.81    -0.01   2.54    
3160.00    1.80    1.82    -0.02   2.54    
3170.00    1.80    1.83    -0.03   2.54    
3180.00    1.80    1.83    -0.03   2.54    
3190.00    1.80    1.84    -0.04   2.54    
3200.00    1.84    1.84    -0.00   2.55    
3210.00    1.84    1.85    -0.01   2.55    
3220.00    1.84    1.85    -0.01   2.55    
3230.00    1.84    1.85    -0.01   2.55    
3240.00    1.84    1.86    -0.02   2.55    
3250.00    1.84    1.86    -0.02   2.55    
3260.00    1.84    1.86    -0.02   2.55    
3270.00    1.84    1.86    -0.02   2.55    
3280.00    1.84    1.86    -0.02   2.55    
3290.00    1.84    1.85    -0.01   2.55    
3300.00    1.84    1.85    -0.01   2.55    
3310.00    1.84    1.85    -0.01   2.55    
3320.00    1.84    1.85    -0.01   2.55    
3330.00    1.84    1.84    -0.00   2.55    
3340.00    1.84    1.84    0.00    2.55    
3350.00    1.84    1.83    0.01    2.55    
3360.00    1.80    1.83    -0.03   2.54    
3370.00    1.80    1.82    -0.02   2.54    
3380.00    1.80    1.81    -0.01   2.54    
3390.00    1.80    1.80    -0.00   2.54    
3400.00    1.80    1.79    0.01    2.54    
3410.00    1.80    1.79    0.01    2.54    
3420.00    1.76    1.78    -0.02   2.53    
3430.00    1.76    1.77    -0.01   2.53    
3440.00    1.76    1.75    0.01    2.53    
3450.00    1.76    1.74    0.02    2.53    
3460.00    1.72    1.73    -0.01   2.52    
3470.00    1.72    1.72    0.00    2.52    
3480.00    1.72    1.70    0.02    2.52    
3490.00    1.68    1.69    -0.01   2.50    
3500.00    1.68    1.68    0.00    2.50    
3510.00    1.68    1.66    0.02    2.50    
3520.00    1.64    1.65    -0.01   2.49    
3530.00    1.64    1.63    0.01    2.49    
3540.00    1.64    1.61    0.03    2.49    
3550.00    1.60    1.60    0.00    2.48    
3560.00    1.60    1.58    0.02    2.48    
3570.00    1.60    1.56    0.04    2.48    
3580.00    1.56    1.54    0.02    2.47    
3590.00    1.56    1.52    0.04    2.47    
3600.00    1.52    1.51    0.01    2.46    
3610.00    1.52    1.49    0.03    2.46    
3620.00    1.48    1.47    0.01    2.44    
3630.00    1.48    1.45    0.03    2.44    
3640.00    1.44    1.42    0.02    2.43    
3650.00    1.44    1.40    0.04    2.43    
3660.00    1.40    1.38    0.02    2.42    
3670.00    1.40    1.36    0.04    2.42    
3680.00    1.36    1.34    0.02    2.41    
3690.00    1.36    1.31    0.05    2.41    
3700.00    1.32    1.29    0.03    2.40    
3710.00    1.32    1.27    0.05    2.40    
3720.00    1.28    1.24    0.04    2.38    
3730.00    1.28    1.22    0.06    2.38    
3740.00    1.24    1.19    0.05    2.37    
3750.00    1.20    1.17    0.03    2.36    
3760.00    1.20    1.14    0.06    2.36    
3770.00    1.16    1.12    0.04    2.35    
3780.00    1.12    1.09    0.03    2.34    
3790.00    1.12    1.07    0.05    2.34    
3800.00    1.08    1.04    0.04    2.32    
3810.00    1.08    1.01    0.07    2.32    
3820.00    1.04    0.99    0.05    2.31    
3830.00    1.00    0.96    0.04    2.30    
3840.00    1.00    0.93    0.07    2.30    
3850.00    0.96    0.91    0.05    2.29    
3860.00    0.96    0.88    0.08    2.29    
3870.00    0.92    0.85    0.07    2.28    
3880.00    0.88    0.82    0.06    2.26    
3890.00    0.84    0.80    0.04    2.25    
3900.00    0.84    0.77    0.07    2.25    
3910.00    0.80    0.74    0.06    2.24    
3920.00    0.76    0.71    0.05    2.23    
3930.00    0.76    0.68    0.08    2.23    
3940.00    0.72    0.66    0.06    2.22    
3950.00    0.68    0.63    0.05    2.20    
3960.00    0.68    0.60    0.08    2.20    
3970.00    0.64    0.57    0.07    2.19    
3980.00    0.60    0.54    0.06    2.18    
3990.00    0.60    0.51    0.09    2.18    
4000.00    0.56    0.48    0.08    2.17    
4010.00    0.52    0.46    0.06    2.16    
4020.00    0.52    0.43    0.09    2.16    
4030.00    0.48    0.40    0.08    2.14    
4040.00    0.44    0.37    0.07    2.13    
4050.00    0.44    0.34    0.10    2.13    
4060.00    0.40    0.31    0.09    2.12    
4070.00    0.36    0.28    0.08    2.11    
4080.00    0.32    0.25    0.07    2.10    
4090.00    0.32    0.23    0.09    2.10    
4100.00    0.28    0.20    0.08    2.08    
4110.00    0.24    0.17    0.07    2.07    
4120.00    0.24    0.14    0.10    2.07    
4130.00    0.20    0.11    0.09    2.06    
4140.00    0.16    0.08    0.08    2.05    
4150.00    0.16    0.06    0.10    2.05    
4160.00    0.12    0.03    0.09    2.04    
4170.00    0.08    0.00    0.08    2.02    
4180.00    0.08    -0.03   0.11    2.02    
4190.00    0.04    -0.05   0.09    2.01    
4200.00    0.00    -0.08   0.08    2.00    
4210.00    0.00    -0.11   0.11    2.00    
4220.00    -0.04   -0.13   0.09    1.99    
4230.00    -0.08   -0.16   0.08    1.98    
4240.00    -0.08   -0.19   0.11    1.98    
4250.00    -0.12   -0.21   0.09    1.96    
4260.00    -0.16   -0.24   0.08    1.95    
4270.00    -0.16   -0.26   0.10    1.95    
4280.00    -0.20   -0.29   0.09    1.94    
4290.00    -0.20   -0.32   0.12    1.94    
4300.00    -0.24   -0.34   0.10    1.93    
4310.00    -0.28   -0.37   0.09    1.92    
4320.00    -0.28   -0.39   0.11    1.92    
4330.00    -0.32   -0.41   0.09    1.90    
4340.00    -0.32   -0.44   0.12    1.90    
4350.00    -0.36   -0.46   0.10    1.89    
4360.00    -0.40   -0.48   0.08    1.88    
4370.00    -0.40   -0.51   0.11    1.88    
4380.00    -0.44   -0.53   0.09    1.87    
4390.00    -0.44   -0.55   0.11    1.87    
4400.00    -0.48   -0.57   0.09    1.86    
4410.00    -0.48   -0.60   0.12    1.86    
4420.00    -0.52   -0.62   0.10    1.84    
4430.00    -0.52   -0.64   0.12    1.84    
4440.00    -0.56   -0.66   0.10    1.83    
