Test Chi Quadro Andamento del Voltaggio_____________________________________________
   x       y       y*      sy      Chi     
11990.00    -0.12   -0.13   1.96    0.00    
12000.00    -0.12   -0.13   1.96    0.00    
12010.00    -0.12   -0.13   1.96    0.00    
12020.00    -0.12   -0.12   1.96    0.00    
12030.00    -0.12   -0.12   1.96    0.00    
12040.00    -0.12   -0.12   1.96    0.00    
12050.00    -0.12   -0.12   1.96    0.00    
12060.00    -0.12   -0.11   1.96    0.00    
12070.00    -0.12   -0.11   1.96    0.00    
12080.00    -0.08   -0.11   1.98    0.00    
12090.00    -0.08   -0.11   1.98    0.00    
12100.00    -0.08   -0.10   1.98    0.00    
12110.00    -0.08   -0.10   1.98    0.00    
12120.00    -0.08   -0.10   1.98    0.00    
12130.00    -0.08   -0.10   1.98    0.00    
12140.00    -0.08   -0.09   1.98    0.00    
12150.00    -0.08   -0.09   1.98    0.00    
12160.00    -0.08   -0.09   1.98    0.00    
12170.00    -0.08   -0.08   1.98    0.00    
12180.00    -0.08   -0.08   1.98    0.00    
12190.00    -0.08   -0.08   1.98    0.00    
12200.00    -0.08   -0.08   1.98    0.00    
12210.00    -0.08   -0.07   1.98    0.00    
12220.00    -0.08   -0.07   1.98    0.00    
12230.00    -0.08   -0.07   1.98    0.00    
12240.00    -0.08   -0.07   1.98    0.00    
12250.00    -0.08   -0.06   1.98    0.00    
12260.00    -0.04   -0.06   1.99    0.00    
12270.00    -0.04   -0.06   1.99    0.00    
12280.00    -0.04   -0.05   1.99    0.00    
12290.00    -0.04   -0.05   1.99    0.00    
12300.00    -0.04   -0.05   1.99    0.00    
12310.00    -0.04   -0.05   1.99    0.00    
12320.00    -0.04   -0.04   1.99    0.00    
12330.00    -0.04   -0.04   1.99    0.00    
12340.00    -0.04   -0.04   1.99    0.00    
12350.00    -0.04   -0.03   1.99    0.00    
12360.00    -0.04   -0.03   1.99    0.00    
12370.00    -0.04   -0.03   1.99    0.00    
12380.00    -0.04   -0.03   1.99    0.00    
12390.00    -0.04   -0.02   1.99    0.00    
12400.00    -0.04   -0.02   1.99    0.00    
12410.00    0.00    -0.02   2.00    0.00    
12420.00    0.00    -0.02   2.00    0.00    
12430.00    0.00    -0.01   2.00    0.00    
12440.00    0.00    -0.01   2.00    0.00    
12450.00    0.00    -0.01   2.00    0.00    
12460.00    0.00    -0.00   2.00    0.00    
12470.00    0.00    -0.00   2.00    0.00    
12480.00    0.00    0.00    2.00    0.00    
12490.00    0.00    0.00    2.00    0.00    
12500.00    0.00    0.01    2.00    0.00    
12510.00    0.00    0.01    2.00    0.00    
12520.00    0.00    0.01    2.00    0.00    
12530.00    0.00    0.01    2.00    0.00    
12540.00    0.00    0.02    2.00    0.00    
12550.00    0.00    0.02    2.00    0.00    
12560.00    0.00    0.02    2.00    0.00    
12570.00    0.04    0.02    2.01    0.00    
12580.00    0.04    0.03    2.01    0.00    
12590.00    0.04    0.03    2.01    0.00    
12600.00    0.04    0.03    2.01    0.00    
12610.00    0.04    0.03    2.01    0.00    
12620.00    0.04    0.04    2.01    0.00    
12630.00    0.04    0.04    2.01    0.00    
12640.00    0.04    0.04    2.01    0.00    
12650.00    0.04    0.04    2.01    0.00    
12660.00    0.04    0.05    2.01    0.00    
12670.00    0.04    0.05    2.01    0.00    
12680.00    0.04    0.05    2.01    0.00    
12690.00    0.04    0.05    2.01    0.00    
12700.00    0.04    0.05    2.01    0.00    
12710.00    0.04    0.06    2.01    0.00    
12720.00    0.04    0.06    2.01    0.00    
12730.00    0.04    0.06    2.01    0.00    
12740.00    0.04    0.06    2.01    0.00    
12750.00    0.08    0.07    2.02    0.00    
12760.00    0.08    0.07    2.02    0.00    
12770.00    0.08    0.07    2.02    0.00    
12780.00    0.08    0.07    2.02    0.00    
12790.00    0.08    0.07    2.02    0.00    
12800.00    0.08    0.07    2.02    0.00    
12810.00    0.08    0.08    2.02    0.00    
12820.00    0.08    0.08    2.02    0.00    
12830.00    0.08    0.08    2.02    0.00    
12840.00    0.08    0.08    2.02    0.00    
12850.00    0.08    0.08    2.02    0.00    
12860.00    0.08    0.08    2.02    0.00    
12870.00    0.08    0.09    2.02    0.00    
12880.00    0.08    0.09    2.02    0.00    
12890.00    0.08    0.09    2.02    0.00    
12900.00    0.08    0.09    2.02    0.00    
12910.00    0.08    0.09    2.02    0.00    
12920.00    0.08    0.09    2.02    0.00    
12930.00    0.08    0.09    2.02    0.00    
12940.00    0.08    0.10    2.02    0.00    
12950.00    0.08    0.10    2.02    0.00    
12960.00    0.08    0.10    2.02    0.00    
12970.00    0.08    0.10    2.02    0.00    
12980.00    0.12    0.10    2.04    0.00    
12990.00    0.12    0.10    2.04    0.00    
13000.00    0.12    0.10    2.04    0.00    
13010.00    0.12    0.10    2.04    0.00    
13020.00    0.12    0.10    2.04    0.00    
13030.00    0.12    0.11    2.04    0.00    
13040.00    0.12    0.11    2.04    0.00    
13050.00    0.12    0.11    2.04    0.00    
13060.00    0.12    0.11    2.04    0.00    
13070.00    0.12    0.11    2.04    0.00    
13080.00    0.12    0.11    2.04    0.00    
13090.00    0.12    0.11    2.04    0.00    
13100.00    0.12    0.11    2.04    0.00    
13110.00    0.12    0.11    2.04    0.00    
13120.00    0.12    0.11    2.04    0.00    
13130.00    0.12    0.11    2.04    0.00    
13140.00    0.12    0.11    2.04    0.00    
13150.00    0.12    0.11    2.04    0.00    
13160.00    0.12    0.11    2.04    0.00    
13170.00    0.12    0.11    2.04    0.00    
13180.00    0.12    0.11    2.04    0.00    
13190.00    0.12    0.11    2.04    0.00    
13200.00    0.12    0.11    2.04    0.00    
13210.00    0.12    0.11    2.04    0.00    
13220.00    0.12    0.11    2.04    0.00    
13230.00    0.12    0.11    2.04    0.00    
13240.00    0.12    0.11    2.04    0.00    
13250.00    0.12    0.11    2.04    0.00    
13260.00    0.12    0.11    2.04    0.00    
13270.00    0.12    0.11    2.04    0.00    
13280.00    0.12    0.11    2.04    0.00    
13290.00    0.12    0.11    2.04    0.00    
13300.00    0.12    0.11    2.04    0.00    
13310.00    0.12    0.11    2.04    0.00    
13320.00    0.12    0.11    2.04    0.00    
13330.00    0.12    0.11    2.04    0.00    
13340.00    0.12    0.11    2.04    0.00    
13350.00    0.12    0.11    2.04    0.00    
13360.00    0.12    0.11    2.04    0.00    
13370.00    0.12    0.11    2.04    0.00    
13380.00    0.12    0.11    2.04    0.00    
13390.00    0.12    0.11    2.04    0.00    
13400.00    0.12    0.11    2.04    0.00    
13410.00    0.12    0.11    2.04    0.00    
13420.00    0.12    0.11    2.04    0.00    
13430.00    0.12    0.11    2.04    0.00    
13440.00    0.12    0.11    2.04    0.00    
13450.00    0.12    0.10    2.04    0.00    
13460.00    0.12    0.10    2.04    0.00    
13470.00    0.12    0.10    2.04    0.00    
13480.00    0.12    0.10    2.04    0.00    
13490.00    0.12    0.10    2.04    0.00    
13500.00    0.12    0.10    2.04    0.00    
13510.00    0.12    0.10    2.04    0.00    
13520.00    0.12    0.10    2.04    0.00    
13530.00    0.12    0.10    2.04    0.00    
13540.00    0.12    0.10    2.04    0.00    
13550.00    0.12    0.09    2.04    0.00    
13560.00    0.12    0.09    2.04    0.00    
13570.00    0.12    0.09    2.04    0.00    
13580.00    0.12    0.09    2.04    0.00    
13590.00    0.12    0.09    2.04    0.00    
13600.00    0.12    0.09    2.04    0.00    
13610.00    0.12    0.09    2.04    0.00    
13620.00    0.12    0.09    2.04    0.00    
13630.00    0.12    0.08    2.04    0.00    
13640.00    0.12    0.08    2.04    0.00    
13650.00    0.08    0.08    2.02    0.00    
13660.00    0.08    0.08    2.02    0.00    
13670.00    0.08    0.08    2.02    0.00    
13680.00    0.08    0.08    2.02    0.00    
13690.00    0.08    0.08    2.02    0.00    
13700.00    0.08    0.07    2.02    0.00    
13710.00    0.08    0.07    2.02    0.00    
13720.00    0.08    0.07    2.02    0.00    
13730.00    0.08    0.07    2.02    0.00    
13740.00    0.08    0.07    2.02    0.00    
13750.00    0.08    0.07    2.02    0.00    
13760.00    0.08    0.06    2.02    0.00    
13770.00    0.08    0.06    2.02    0.00    
13780.00    0.08    0.06    2.02    0.00    
13790.00    0.08    0.06    2.02    0.00    
13800.00    0.08    0.06    2.02    0.00    
13810.00    0.08    0.06    2.02    0.00    
13820.00    0.08    0.06    2.02    0.00    
13830.00    0.08    0.05    2.02    0.00    
13840.00    0.08    0.05    2.02    0.00    
13850.00    0.08    0.05    2.02    0.00    
13860.00    0.08    0.05    2.02    0.00    
13870.00    0.08    0.05    2.02    0.00    
13880.00    0.08    0.04    2.02    0.00    
13890.00    0.08    0.04    2.02    0.00    
13900.00    0.08    0.04    2.02    0.00    
13910.00    0.08    0.04    2.02    0.00    
13920.00    0.08    0.04    2.02    0.00    
13930.00    0.08    0.04    2.02    0.00    
13940.00    0.04    0.03    2.01    0.00    
13950.00    0.04    0.03    2.01    0.00    
13960.00    0.04    0.03    2.01    0.00    
13970.00    0.04    0.03    2.01    0.00    
13980.00    0.04    0.03    2.01    0.00    
13990.00    0.04    0.03    2.01    0.00    
14000.00    0.04    0.02    2.01    0.00    
14010.00    0.04    0.02    2.01    0.00    
14020.00    0.04    0.02    2.01    0.00    
14030.00    0.04    0.02    2.01    0.00    
14040.00    0.04    0.02    2.01    0.00    
14050.00    0.04    0.02    2.01    0.00    
14060.00    0.04    0.01    2.01    0.00    
14070.00    0.04    0.01    2.01    0.00    
14080.00    0.04    0.01    2.01    0.00    
14090.00    0.04    0.01    2.01    0.00    
14100.00    0.04    0.01    2.01    0.00    
14110.00    0.04    0.00    2.01    0.00    
14120.00    0.04    0.00    2.01    0.00    
14130.00    0.04    0.00    2.01    0.00    
14140.00    0.04    -0.00   2.01    0.00    
14150.00    0.04    -0.00   2.01    0.00    
14160.00    0.04    -0.00   2.01    0.00    
14170.00    0.04    -0.01   2.01    0.00    
14180.00    0.00    -0.01   2.00    0.00    
14190.00    0.00    -0.01   2.00    0.00    
14200.00    0.00    -0.01   2.00    0.00    
14210.00    0.00    -0.01   2.00    0.00    
14220.00    0.00    -0.01   2.00    0.00    
14230.00    0.00    -0.02   2.00    0.00    
14240.00    0.00    -0.02   2.00    0.00    
14250.00    0.00    -0.02   2.00    0.00    
14260.00    0.00    -0.02   2.00    0.00    
14270.00    0.00    -0.02   2.00    0.00    
14280.00    0.00    -0.02   2.00    0.00    
14290.00    0.00    -0.02   2.00    0.00    
14300.00    0.00    -0.03   2.00    0.00    
14310.00    0.00    -0.03   2.00    0.00    
14320.00    0.00    -0.03   2.00    0.00    
14330.00    0.00    -0.03   2.00    0.00    
14340.00    0.00    -0.03   2.00    0.00    
14350.00    0.00    -0.03   2.00    0.00    
14360.00    0.00    -0.03   2.00    0.00    
14370.00    0.00    -0.04   2.00    0.00    
14380.00    0.00    -0.04   2.00    0.00    
14390.00    0.00    -0.04   2.00    0.00    
14400.00    0.00    -0.04   2.00    0.00    
14410.00    0.00    -0.04   2.00    0.00    
14420.00    0.00    -0.04   2.00    0.00    
14430.00    0.00    -0.04   2.00    0.00    
14440.00    0.00    -0.04   2.00    0.00    
14450.00    0.00    -0.05   2.00    0.00    
14460.00    0.00    -0.05   2.00    0.00    
14470.00    -0.04   -0.05   1.99    0.00    
14480.00    -0.04   -0.05   1.99    0.00    
14490.00    -0.04   -0.05   1.99    0.00    
14500.00    -0.04   -0.05   1.99    0.00    
14510.00    -0.04   -0.05   1.99    0.00    
14520.00    -0.04   -0.05   1.99    0.00    
14530.00    -0.04   -0.05   1.99    0.00    
14540.00    -0.04   -0.06   1.99    0.00    
14550.00    -0.04   -0.06   1.99    0.00    
14560.00    -0.04   -0.06   1.99    0.00    
14570.00    -0.04   -0.06   1.99    0.00    
14580.00    -0.04   -0.06   1.99    0.00    
14590.00    -0.04   -0.06   1.99    0.00    
14600.00    -0.04   -0.06   1.99    0.00    
14610.00    -0.04   -0.06   1.99    0.00    
14620.00    -0.04   -0.06   1.99    0.00    
14630.00    -0.04   -0.06   1.99    0.00    
14640.00    -0.04   -0.06   1.99    0.00    
14650.00    -0.04   -0.06   1.99    0.00    
14660.00    -0.04   -0.06   1.99    0.00    
14670.00    -0.04   -0.07   1.99    0.00    
14680.00    -0.04   -0.07   1.99    0.00    
14690.00    -0.04   -0.07   1.99    0.00    
14700.00    -0.04   -0.07   1.99    0.00    
14710.00    -0.04   -0.07   1.99    0.00    
14720.00    -0.04   -0.07   1.99    0.00    
14730.00    -0.04   -0.07   1.99    0.00    
14740.00    -0.04   -0.07   1.99    0.00    
14750.00    -0.04   -0.07   1.99    0.00    
14760.00    -0.04   -0.07   1.99    0.00    
14770.00    -0.04   -0.07   1.99    0.00    
14780.00    -0.04   -0.07   1.99    0.00    
14790.00    -0.04   -0.07   1.99    0.00    
14800.00    -0.04   -0.07   1.99    0.00    
14810.00    -0.04   -0.07   1.99    0.00    
14820.00    -0.04   -0.07   1.99    0.00    
14830.00    -0.04   -0.07   1.99    0.00    
14840.00    -0.04   -0.07   1.99    0.00    
14850.00    -0.04   -0.07   1.99    0.00    
14860.00    -0.04   -0.07   1.99    0.00    
14870.00    -0.04   -0.07   1.99    0.00    
14880.00    -0.04   -0.07   1.99    0.00    
14890.00    -0.04   -0.07   1.99    0.00    
14900.00    -0.04   -0.07   1.99    0.00    
14910.00    -0.04   -0.07   1.99    0.00    
14920.00    -0.04   -0.07   1.99    0.00    
14930.00    -0.04   -0.07   1.99    0.00    
14940.00    -0.04   -0.07   1.99    0.00    
14950.00    -0.04   -0.07   1.99    0.00    
14960.00    -0.04   -0.07   1.99    0.00    
14970.00    -0.04   -0.07   1.99    0.00    
14980.00    -0.04   -0.07   1.99    0.00    
14990.00    -0.04   -0.07   1.99    0.00    
15000.00    -0.04   -0.07   1.99    0.00    
15010.00    -0.04   -0.07   1.99    0.00    
15020.00    -0.04   -0.07   1.99    0.00    
15030.00    -0.04   -0.07   1.99    0.00    
15040.00    -0.04   -0.07   1.99    0.00    
15050.00    -0.04   -0.07   1.99    0.00    
15060.00    -0.04   -0.07   1.99    0.00    
15070.00    -0.04   -0.07   1.99    0.00    
15080.00    -0.04   -0.07   1.99    0.00    
15090.00    -0.04   -0.07   1.99    0.00    
15100.00    -0.04   -0.07   1.99    0.00    
15110.00    -0.04   -0.07   1.99    0.00    
15120.00    -0.04   -0.07   1.99    0.00    
15130.00    -0.04   -0.06   1.99    0.00    
15140.00    -0.04   -0.06   1.99    0.00    
15150.00    -0.04   -0.06   1.99    0.00    
15160.00    -0.04   -0.06   1.99    0.00    
15170.00    -0.04   -0.06   1.99    0.00    
15180.00    -0.04   -0.06   1.99    0.00    
15190.00    -0.04   -0.06   1.99    0.00    
15200.00    -0.04   -0.06   1.99    0.00    
15210.00    -0.04   -0.06   1.99    0.00    
15220.00    -0.04   -0.06   1.99    0.00    
15230.00    -0.04   -0.06   1.99    0.00    
15240.00    -0.04   -0.06   1.99    0.00    
15250.00    -0.04   -0.06   1.99    0.00    
15260.00    -0.04   -0.06   1.99    0.00    
15270.00    -0.04   -0.05   1.99    0.00    
15280.00    -0.04   -0.05   1.99    0.00    
15290.00    -0.04   -0.05   1.99    0.00    
15300.00    -0.04   -0.05   1.99    0.00    
15310.00    -0.04   -0.05   1.99    0.00    
15320.00    -0.04   -0.05   1.99    0.00    
15330.00    -0.04   -0.05   1.99    0.00    
15340.00    -0.04   -0.05   1.99    0.00    
15350.00    -0.04   -0.05   1.99    0.00    
15360.00    -0.04   -0.05   1.99    0.00    
15370.00    -0.04   -0.05   1.99    0.00    
15380.00    -0.04   -0.04   1.99    0.00    
15390.00    -0.04   -0.04   1.99    0.00    
15400.00    -0.04   -0.04   1.99    0.00    
15410.00    -0.04   -0.04   1.99    0.00    
15420.00    -0.04   -0.04   1.99    0.00    
15430.00    -0.04   -0.04   1.99    0.00    
15440.00    -0.04   -0.04   1.99    0.00    
15450.00    -0.04   -0.04   1.99    0.00    
15460.00    -0.04   -0.04   1.99    0.00    
15470.00    -0.04   -0.04   1.99    0.00    
15480.00    -0.04   -0.03   1.99    0.00    
15490.00    -0.04   -0.03   1.99    0.00    
15500.00    -0.04   -0.03   1.99    0.00    
15510.00    0.00    -0.03   2.00    0.00    
15520.00    0.00    -0.03   2.00    0.00    
15530.00    0.00    -0.03   2.00    0.00    
15540.00    0.00    -0.03   2.00    0.00    
15550.00    0.00    -0.03   2.00    0.00    
15560.00    0.00    -0.03   2.00    0.00    
15570.00    0.00    -0.03   2.00    0.00    
15580.00    0.00    -0.02   2.00    0.00    
15590.00    0.00    -0.02   2.00    0.00    
15600.00    0.00    -0.02   2.00    0.00    
15610.00    0.00    -0.02   2.00    0.00    
15620.00    0.00    -0.02   2.00    0.00    
15630.00    0.00    -0.02   2.00    0.00    
15640.00    0.00    -0.02   2.00    0.00    
15650.00    0.00    -0.02   2.00    0.00    
15660.00    0.00    -0.02   2.00    0.00    
15670.00    0.00    -0.01   2.00    0.00    
15680.00    0.00    -0.01   2.00    0.00    
15690.00    0.00    -0.01   2.00    0.00    
15700.00    0.00    -0.01   2.00    0.00    
15710.00    0.00    -0.01   2.00    0.00    
15720.00    0.00    -0.01   2.00    0.00    
15730.00    0.00    -0.01   2.00    0.00    
15740.00    0.00    -0.01   2.00    0.00    
15750.00    0.00    -0.01   2.00    0.00    
15760.00    0.00    -0.00   2.00    0.00    
15770.00    0.00    -0.00   2.00    0.00    
15780.00    0.00    -0.00   2.00    0.00    
15790.00    0.00    -0.00   2.00    0.00    
15800.00    0.00    0.00    2.00    0.00    
15810.00    0.00    0.00    2.00    0.00    
15820.00    0.00    0.00    2.00    0.00    
15830.00    0.00    0.00    2.00    0.00    
15840.00    0.00    0.00    2.00    0.00    
15850.00    0.00    0.01    2.00    0.00    
15860.00    0.00    0.01    2.00    0.00    
15870.00    0.00    0.01    2.00    0.00    
15880.00    0.00    0.01    2.00    0.00    
15890.00    0.00    0.01    2.00    0.00    
15900.00    0.04    0.01    2.01    0.00    
15910.00    0.04    0.01    2.01    0.00    
15920.00    0.04    0.01    2.01    0.00    
15930.00    0.04    0.01    2.01    0.00    
15940.00    0.04    0.01    2.01    0.00    
15950.00    0.04    0.02    2.01    0.00    
15960.00    0.04    0.02    2.01    0.00    
15970.00    0.04    0.02    2.01    0.00    
15980.00    0.04    0.02    2.01    0.00    
15990.00    0.04    0.02    2.01    0.00    
16000.00    0.04    0.02    2.01    0.00    
16010.00    0.04    0.02    2.01    0.00    
16020.00    0.04    0.02    2.01    0.00    
16030.00    0.04    0.02    2.01    0.00    
16040.00    0.04    0.02    2.01    0.00    
16050.00    0.04    0.02    2.01    0.00    
16060.00    0.04    0.02    2.01    0.00    
16070.00    0.04    0.03    2.01    0.00    
16080.00    0.04    0.03    2.01    0.00    
16090.00    0.04    0.03    2.01    0.00    
16100.00    0.04    0.03    2.01    0.00    
16110.00    0.04    0.03    2.01    0.00    
16120.00    0.04    0.03    2.01    0.00    
16130.00    0.04    0.03    2.01    0.00    
16140.00    0.04    0.03    2.01    0.00    
16150.00    0.04    0.03    2.01    0.00    
16160.00    0.04    0.03    2.01    0.00    
16170.00    0.04    0.03    2.01    0.00    
16180.00    0.04    0.03    2.01    0.00    
16190.00    0.04    0.03    2.01    0.00    
16200.00    0.04    0.03    2.01    0.00    
16210.00    0.04    0.04    2.01    0.00    
16220.00    0.04    0.04    2.01    0.00    
16230.00    0.04    0.04    2.01    0.00    
16240.00    0.04    0.04    2.01    0.00    
16250.00    0.04    0.04    2.01    0.00    
16260.00    0.04    0.04    2.01    0.00    
16270.00    0.04    0.04    2.01    0.00    
16280.00    0.04    0.04    2.01    0.00    
16290.00    0.04    0.04    2.01    0.00    
16300.00    0.04    0.04    2.01    0.00    
16310.00    0.04    0.04    2.01    0.00    
16320.00    0.04    0.04    2.01    0.00    
16330.00    0.04    0.04    2.01    0.00    
16340.00    0.04    0.04    2.01    0.00    
16350.00    0.04    0.04    2.01    0.00    
16360.00    0.04    0.04    2.01    0.00    
16370.00    0.04    0.04    2.01    0.00    
16380.00    0.04    0.04    2.01    0.00    
16390.00    0.04    0.04    2.01    0.00    
16400.00    0.04    0.04    2.01    0.00    
16410.00    0.04    0.04    2.01    0.00    
16420.00    0.04    0.04    2.01    0.00    
16430.00    0.04    0.04    2.01    0.00    
16440.00    0.04    0.04    2.01    0.00    
16450.00    0.04    0.04    2.01    0.00    
16460.00    0.04    0.04    2.01    0.00    
16470.00    0.04    0.04    2.01    0.00    
16480.00    0.04    0.04    2.01    0.00    
16490.00    0.04    0.04    2.01    0.00    
16500.00    0.04    0.04    2.01    0.00    
16510.00    0.04    0.04    2.01    0.00    
16520.00    0.04    0.04    2.01    0.00    
16530.00    0.04    0.04    2.01    0.00    
16540.00    0.04    0.04    2.01    0.00    
16550.00    0.04    0.04    2.01    0.00    
16560.00    0.04    0.04    2.01    0.00    
16570.00    0.04    0.04    2.01    0.00    
16580.00    0.04    0.04    2.01    0.00    
16590.00    0.04    0.04    2.01    0.00    
16600.00    0.04    0.04    2.01    0.00    
16610.00    0.04    0.04    2.01    0.00    
16620.00    0.04    0.04    2.01    0.00    
16630.00    0.04    0.04    2.01    0.00    
16640.00    0.04    0.04    2.01    0.00    
16650.00    0.04    0.04    2.01    0.00    
16660.00    0.04    0.04    2.01    0.00    
16670.00    0.04    0.04    2.01    0.00    
16680.00    0.04    0.04    2.01    0.00    
16690.00    0.04    0.04    2.01    0.00    
16700.00    0.04    0.04    2.01    0.00    
16710.00    0.04    0.04    2.01    0.00    
16720.00    0.04    0.04    2.01    0.00    
16730.00    0.04    0.04    2.01    0.00    
16740.00    0.04    0.04    2.01    0.00    
16750.00    0.04    0.04    2.01    0.00    
16760.00    0.04    0.04    2.01    0.00    
16770.00    0.04    0.04    2.01    0.00    
16780.00    0.04    0.04    2.01    0.00    
16790.00    0.04    0.04    2.01    0.00    
16800.00    0.04    0.04    2.01    0.00    
16810.00    0.04    0.04    2.01    0.00    
16820.00    0.04    0.04    2.01    0.00    
16830.00    0.04    0.04    2.01    0.00    
16840.00    0.04    0.04    2.01    0.00    
16850.00    0.04    0.04    2.01    0.00    
16860.00    0.04    0.04    2.01    0.00    
16870.00    0.04    0.04    2.01    0.00    
16880.00    0.04    0.04    2.01    0.00    
16890.00    0.04    0.04    2.01    0.00    
16900.00    0.04    0.04    2.01    0.00    
16910.00    0.04    0.04    2.01    0.00    
16920.00    0.04    0.03    2.01    0.00    
16930.00    0.04    0.03    2.01    0.00    
16940.00    0.04    0.03    2.01    0.00    
16950.00    0.04    0.03    2.01    0.00    
16960.00    0.04    0.03    2.01    0.00    
16970.00    0.04    0.03    2.01    0.00    
16980.00    0.04    0.03    2.01    0.00    
16990.00    0.04    0.03    2.01    0.00    
17000.00    0.04    0.03    2.01    0.00    
17010.00    0.04    0.03    2.01    0.00    
17020.00    0.04    0.03    2.01    0.00    
17030.00    0.04    0.03    2.01    0.00    
17040.00    0.04    0.03    2.01    0.00    
17050.00    0.04    0.03    2.01    0.00    
17060.00    0.04    0.03    2.01    0.00    
17070.00    0.04    0.03    2.01    0.00    
17080.00    0.04    0.03    2.01    0.00    
17090.00    0.04    0.03    2.01    0.00    
17100.00    0.04    0.02    2.01    0.00    
17110.00    0.04    0.02    2.01    0.00    
17120.00    0.04    0.02    2.01    0.00    
17130.00    0.04    0.02    2.01    0.00    
17140.00    0.04    0.02    2.01    0.00    
17150.00    0.04    0.02    2.01    0.00    
17160.00    0.04    0.02    2.01    0.00    
17170.00    0.04    0.02    2.01    0.00    
17180.00    0.04    0.02    2.01    0.00    
17190.00    0.04    0.02    2.01    0.00    
17200.00    0.04    0.02    2.01    0.00    
17210.00    0.04    0.02    2.01    0.00    
17220.00    0.04    0.02    2.01    0.00    
17230.00    0.04    0.02    2.01    0.00    
17240.00    0.04    0.02    2.01    0.00    
17250.00    0.04    0.01    2.01    0.00    
17260.00    0.04    0.01    2.01    0.00    
17270.00    0.04    0.01    2.01    0.00    
17280.00    0.04    0.01    2.01    0.00    
17290.00    0.04    0.01    2.01    0.00    
17300.00    0.04    0.01    2.01    0.00    
17310.00    0.04    0.01    2.01    0.00    
17320.00    0.04    0.01    2.01    0.00    
17330.00    0.04    0.01    2.01    0.00    
17340.00    0.04    0.01    2.01    0.00    
17350.00    0.04    0.01    2.01    0.00    
17360.00    0.04    0.01    2.01    0.00    
17370.00    0.04    0.01    2.01    0.00    
17380.00    0.04    0.01    2.01    0.00    
17390.00    0.04    0.00    2.01    0.00    
17400.00    0.04    0.00    2.01    0.00    
17410.00    0.04    0.00    2.01    0.00    
17420.00    0.04    0.00    2.01    0.00    
17430.00    0.04    0.00    2.01    0.00    
17440.00    0.04    0.00    2.01    0.00    
17450.00    0.00    0.00    2.00    0.00    
17460.00    0.04    -0.00   2.01    0.00    
17470.00    0.00    -0.00   2.00    0.00    
17480.00    0.00    -0.00   2.00    0.00    
17490.00    0.00    -0.00   2.00    0.00    
17500.00    0.00    -0.00   2.00    0.00    
17510.00    0.00    -0.00   2.00    0.00    
17520.00    0.00    -0.00   2.00    0.00    
17530.00    0.00    -0.00   2.00    0.00    
17540.00    0.00    -0.01   2.00    0.00    
17550.00    0.00    -0.01   2.00    0.00    
17560.00    0.00    -0.01   2.00    0.00    
17570.00    0.00    -0.01   2.00    0.00    
17580.00    0.00    -0.01   2.00    0.00    
17590.00    0.00    -0.01   2.00    0.00    
17600.00    0.00    -0.01   2.00    0.00    
17610.00    0.00    -0.01   2.00    0.00    
17620.00    0.00    -0.01   2.00    0.00    
17630.00    0.00    -0.01   2.00    0.00    
17640.00    0.00    -0.01   2.00    0.00    
17650.00    0.00    -0.01   2.00    0.00    
17660.00    0.00    -0.01   2.00    0.00    
17670.00    0.00    -0.01   2.00    0.00    
17680.00    0.00    -0.01   2.00    0.00    
17690.00    0.00    -0.01   2.00    0.00    
17700.00    0.00    -0.01   2.00    0.00    
17710.00    0.00    -0.01   2.00    0.00    
17720.00    0.00    -0.02   2.00    0.00    
17730.00    0.00    -0.02   2.00    0.00    
17740.00    0.00    -0.02   2.00    0.00    
17750.00    0.00    -0.02   2.00    0.00    
17760.00    0.00    -0.02   2.00    0.00    
17770.00    0.00    -0.02   2.00    0.00    
17780.00    0.00    -0.02   2.00    0.00    
17790.00    0.00    -0.02   2.00    0.00    
17800.00    0.00    -0.02   2.00    0.00    
17810.00    0.00    -0.02   2.00    0.00    
17820.00    0.00    -0.02   2.00    0.00    
17830.00    0.00    -0.02   2.00    0.00    
17840.00    0.00    -0.02   2.00    0.00    
17850.00    0.00    -0.02   2.00    0.00    
17860.00    0.00    -0.02   2.00    0.00    
17870.00    0.00    -0.02   2.00    0.00    
17880.00    0.00    -0.02   2.00    0.00    
17890.00    0.00    -0.02   2.00    0.00    
17900.00    0.00    -0.02   2.00    0.00    
17910.00    0.00    -0.02   2.00    0.00    
17920.00    0.00    -0.02   2.00    0.00    
17930.00    0.00    -0.02   2.00    0.00    
17940.00    0.00    -0.02   2.00    0.00    
17950.00    0.00    -0.02   2.00    0.00    
17960.00    0.00    -0.02   2.00    0.00    
17970.00    0.00    -0.03   2.00    0.00    
17980.00    0.00    -0.03   2.00    0.00    
17990.00    0.00    -0.03   2.00    0.00    
18000.00    0.00    -0.03   2.00    0.00    
18010.00    0.00    -0.03   2.00    0.00    
18020.00    0.00    -0.03   2.00    0.00    
18030.00    0.00    -0.03   2.00    0.00    
18040.00    0.00    -0.03   2.00    0.00    
18050.00    0.00    -0.03   2.00    0.00    
18060.00    0.00    -0.03   2.00    0.00    
18070.00    0.00    -0.03   2.00    0.00    
18080.00    0.00    -0.03   2.00    0.00    
18090.00    0.00    -0.03   2.00    0.00    
18100.00    0.00    -0.03   2.00    0.00    
18110.00    0.00    -0.03   2.00    0.00    
18120.00    0.00    -0.03   2.00    0.00    
