Test Chi Quadro Andamento del Voltaggio_____________________________________________
   x       y       y*      sy      Chi     
1870.00    -2.56   -2.59   1.23    0.00    
1880.00    -2.52   -2.57   1.24    0.00    
1890.00    -2.48   -2.54   1.26    0.00    
1900.00    -2.48   -2.51   1.26    0.00    
1910.00    -2.44   -2.48   1.27    0.00    
1920.00    -2.40   -2.45   1.28    0.00    
1930.00    -2.40   -2.42   1.28    0.00    
1940.00    -2.36   -2.39   1.29    0.00    
1950.00    -2.32   -2.36   1.30    0.00    
1960.00    -2.28   -2.33   1.32    0.00    
1970.00    -2.24   -2.30   1.33    0.00    
1980.00    -2.20   -2.26   1.34    0.00    
1990.00    -2.20   -2.23   1.34    0.00    
2000.00    -2.16   -2.20   1.35    0.00    
2010.00    -2.12   -2.16   1.36    0.00    
2020.00    -2.08   -2.12   1.38    0.00    
2030.00    -2.04   -2.09   1.39    0.00    
2040.00    -2.00   -2.05   1.40    0.00    
2050.00    -1.96   -2.01   1.41    0.00    
2060.00    -1.92   -1.97   1.42    0.00    
2070.00    -1.88   -1.94   1.44    0.00    
2080.00    -1.84   -1.90   1.45    0.00    
2090.00    -1.80   -1.86   1.46    0.00    
2100.00    -1.76   -1.82   1.47    0.00    
2110.00    -1.72   -1.78   1.48    0.00    
2120.00    -1.68   -1.74   1.50    0.00    
2130.00    -1.64   -1.69   1.51    0.00    
2140.00    -1.60   -1.65   1.52    0.00    
2150.00    -1.56   -1.61   1.53    0.00    
2160.00    -1.52   -1.57   1.54    0.00    
2170.00    -1.48   -1.53   1.56    0.00    
2180.00    -1.44   -1.48   1.57    0.00    
2190.00    -1.40   -1.44   1.58    0.00    
2200.00    -1.36   -1.40   1.59    0.00    
2210.00    -1.32   -1.35   1.60    0.00    
2220.00    -1.28   -1.31   1.62    0.00    
2230.00    -1.24   -1.26   1.63    0.00    
2240.00    -1.20   -1.22   1.64    0.00    
2250.00    -1.12   -1.17   1.66    0.00    
2260.00    -1.08   -1.13   1.68    0.00    
2270.00    -1.04   -1.08   1.69    0.00    
2280.00    -1.00   -1.04   1.70    0.00    
2290.00    -0.96   -0.99   1.71    0.00    
2300.00    -0.92   -0.95   1.72    0.00    
2310.00    -0.88   -0.90   1.74    0.00    
2320.00    -0.84   -0.86   1.75    0.00    
2330.00    -0.76   -0.81   1.77    0.00    
2340.00    -0.72   -0.77   1.78    0.00    
2350.00    -0.68   -0.72   1.80    0.00    
2360.00    -0.64   -0.67   1.81    0.00    
2370.00    -0.60   -0.63   1.82    0.00    
2380.00    -0.56   -0.58   1.83    0.00    
2390.00    -0.52   -0.54   1.84    0.00    
2400.00    -0.48   -0.49   1.86    0.00    
2410.00    -0.44   -0.45   1.87    0.00    
2420.00    -0.36   -0.40   1.89    0.00    
2430.00    -0.32   -0.35   1.90    0.00    
2440.00    -0.28   -0.31   1.92    0.00    
2450.00    -0.24   -0.26   1.93    0.00    
2460.00    -0.20   -0.22   1.94    0.00    
2470.00    -0.16   -0.17   1.95    0.00    
2480.00    -0.12   -0.13   1.96    0.00    
2490.00    -0.08   -0.09   1.98    0.00    
2500.00    -0.04   -0.04   1.99    0.00    
2510.00    0.00    0.00    2.00    0.00    
2520.00    0.04    0.05    2.01    0.00    
2530.00    0.08    0.09    2.02    0.00    
2540.00    0.16    0.13    2.05    0.00    
2550.00    0.20    0.18    2.06    0.00    
2560.00    0.24    0.22    2.07    0.00    
2570.00    0.28    0.26    2.08    0.00    
2580.00    0.32    0.30    2.10    0.00    
2590.00    0.36    0.34    2.11    0.00    
2600.00    0.40    0.39    2.12    0.00    
2610.00    0.44    0.43    2.13    0.00    
2620.00    0.48    0.47    2.14    0.00    
2630.00    0.52    0.51    2.16    0.00    
2640.00    0.56    0.55    2.17    0.00    
2650.00    0.60    0.59    2.18    0.00    
2660.00    0.60    0.62    2.18    0.00    
2670.00    0.68    0.66    2.20    0.00    
2680.00    0.68    0.70    2.20    0.00    
2690.00    0.72    0.74    2.22    0.00    
2700.00    0.76    0.78    2.23    0.00    
2710.00    0.80    0.81    2.24    0.00    
2720.00    0.84    0.85    2.25    0.00    
2730.00    0.88    0.88    2.26    0.00    
2740.00    0.92    0.92    2.28    0.00    
2750.00    0.96    0.95    2.29    0.00    
2760.00    0.96    0.99    2.29    0.00    
2770.00    1.00    1.02    2.30    0.00    
2780.00    1.04    1.05    2.31    0.00    
2790.00    1.08    1.08    2.32    0.00    
2800.00    1.12    1.12    2.34    0.00    
2810.00    1.12    1.15    2.34    0.00    
2820.00    1.16    1.18    2.35    0.00    
2830.00    1.20    1.21    2.36    0.00    
2840.00    1.24    1.24    2.37    0.00    
2850.00    1.24    1.27    2.37    0.00    
2860.00    1.28    1.29    2.38    0.00    
2870.00    1.32    1.32    2.40    0.00    
2880.00    1.32    1.35    2.40    0.00    
2890.00    1.36    1.37    2.41    0.00    
2900.00    1.36    1.40    2.41    0.00    
2910.00    1.40    1.42    2.42    0.00    
2920.00    1.44    1.45    2.43    0.00    
2930.00    1.44    1.47    2.43    0.00    
2940.00    1.48    1.49    2.44    0.00    
2950.00    1.48    1.52    2.44    0.00    
2960.00    1.52    1.54    2.46    0.00    
2970.00    1.56    1.56    2.47    0.00    
2980.00    1.56    1.58    2.47    0.00    
2990.00    1.56    1.60    2.47    0.00    
3000.00    1.60    1.62    2.48    0.00    
3010.00    1.60    1.64    2.48    0.00    
3020.00    1.64    1.65    2.49    0.00    
3030.00    1.64    1.67    2.49    0.00    
3040.00    1.64    1.68    2.49    0.00    
3050.00    1.68    1.70    2.50    0.00    
3060.00    1.68    1.71    2.50    0.00    
3070.00    1.72    1.73    2.52    0.00    
3080.00    1.72    1.74    2.52    0.00    
3090.00    1.72    1.75    2.52    0.00    
3100.00    1.76    1.77    2.53    0.00    
3110.00    1.76    1.78    2.53    0.00    
3120.00    1.76    1.79    2.53    0.00    
3130.00    1.76    1.80    2.53    0.00    
3140.00    1.80    1.81    2.54    0.00    
3150.00    1.80    1.81    2.54    0.00    
3160.00    1.80    1.82    2.54    0.00    
3170.00    1.80    1.83    2.54    0.00    
3180.00    1.80    1.83    2.54    0.00    
3190.00    1.80    1.84    2.54    0.00    
3200.00    1.84    1.84    2.55    0.00    
3210.00    1.84    1.85    2.55    0.00    
3220.00    1.84    1.85    2.55    0.00    
3230.00    1.84    1.85    2.55    0.00    
3240.00    1.84    1.86    2.55    0.00    
3250.00    1.84    1.86    2.55    0.00    
3260.00    1.84    1.86    2.55    0.00    
3270.00    1.84    1.86    2.55    0.00    
3280.00    1.84    1.86    2.55    0.00    
3290.00    1.84    1.85    2.55    0.00    
3300.00    1.84    1.85    2.55    0.00    
3310.00    1.84    1.85    2.55    0.00    
3320.00    1.84    1.85    2.55    0.00    
3330.00    1.84    1.84    2.55    0.00    
3340.00    1.84    1.84    2.55    0.00    
3350.00    1.84    1.83    2.55    0.00    
3360.00    1.80    1.83    2.54    0.00    
3370.00    1.80    1.82    2.54    0.00    
3380.00    1.80    1.81    2.54    0.00    
3390.00    1.80    1.80    2.54    0.00    
3400.00    1.80    1.79    2.54    0.00    
3410.00    1.80    1.79    2.54    0.00    
3420.00    1.76    1.78    2.53    0.00    
3430.00    1.76    1.77    2.53    0.00    
3440.00    1.76    1.75    2.53    0.00    
3450.00    1.76    1.74    2.53    0.00    
3460.00    1.72    1.73    2.52    0.00    
3470.00    1.72    1.72    2.52    0.00    
3480.00    1.72    1.70    2.52    0.00    
3490.00    1.68    1.69    2.50    0.00    
3500.00    1.68    1.68    2.50    0.00    
3510.00    1.68    1.66    2.50    0.00    
3520.00    1.64    1.65    2.49    0.00    
3530.00    1.64    1.63    2.49    0.00    
3540.00    1.64    1.61    2.49    0.00    
3550.00    1.60    1.60    2.48    0.00    
3560.00    1.60    1.58    2.48    0.00    
3570.00    1.60    1.56    2.48    0.00    
3580.00    1.56    1.54    2.47    0.00    
3590.00    1.56    1.52    2.47    0.00    
3600.00    1.52    1.51    2.46    0.00    
3610.00    1.52    1.49    2.46    0.00    
3620.00    1.48    1.47    2.44    0.00    
3630.00    1.48    1.45    2.44    0.00    
3640.00    1.44    1.42    2.43    0.00    
3650.00    1.44    1.40    2.43    0.00    
3660.00    1.40    1.38    2.42    0.00    
3670.00    1.40    1.36    2.42    0.00    
3680.00    1.36    1.34    2.41    0.00    
3690.00    1.36    1.31    2.41    0.00    
3700.00    1.32    1.29    2.40    0.00    
3710.00    1.32    1.27    2.40    0.00    
3720.00    1.28    1.24    2.38    0.00    
3730.00    1.28    1.22    2.38    0.00    
3740.00    1.24    1.19    2.37    0.00    
3750.00    1.20    1.17    2.36    0.00    
3760.00    1.20    1.14    2.36    0.00    
3770.00    1.16    1.12    2.35    0.00    
3780.00    1.12    1.09    2.34    0.00    
3790.00    1.12    1.07    2.34    0.00    
3800.00    1.08    1.04    2.32    0.00    
3810.00    1.08    1.01    2.32    0.00    
3820.00    1.04    0.99    2.31    0.00    
3830.00    1.00    0.96    2.30    0.00    
3840.00    1.00    0.93    2.30    0.00    
3850.00    0.96    0.91    2.29    0.00    
3860.00    0.96    0.88    2.29    0.00    
3870.00    0.92    0.85    2.28    0.00    
3880.00    0.88    0.82    2.26    0.00    
3890.00    0.84    0.80    2.25    0.00    
3900.00    0.84    0.77    2.25    0.00    
3910.00    0.80    0.74    2.24    0.00    
