Distance_(pixels),Gray_Value
4.8600E2,3.4778E1
4.8700E2,3.2667E1
4.8800E2,3.2269E1
4.8900E2,3.3420E1
4.9000E2,3.2909E1
4.9100E2,3.7667E1
4.9200E2,3.4901E1
4.9300E2,3.6770E1
4.9400E2,3.6806E1
4.9500E2,3.5056E1
4.9600E2,3.5609E1
4.9700E2,3.7635E1
4.9800E2,3.8854E1
4.9900E2,4.0473E1
5.0000E2,3.9267E1
5.0100E2,4.0397E1
5.0200E2,4.1000E1
5.0300E2,4.0447E1
5.0400E2,4.1484E1
5.0500E2,4.0051E1
5.0600E2,3.8540E1
5.0700E2,3.7837E1
5.0800E2,3.8333E1
5.0900E2,4.0801E1
5.1000E2,4.1211E1
5.1100E2,4.0000E1
5.1200E2,4.0369E1
5.1300E2,4.0044E1
5.1400E2,3.9934E1
5.1500E2,4.1611E1
5.1600E2,4.0798E1
5.1700E2,3.9346E1
5.1800E2,3.6324E1
5.1900E2,3.6107E1
5.2000E2,3.8213E1
5.2100E2,3.8002E1
5.2200E2,3.8235E1
5.2300E2,3.8130E1
5.2400E2,3.5882E1
5.2500E2,3.5320E1
5.2600E2,3.5545E1
5.2700E2,3.5065E1
5.2800E2,3.5540E1
5.2900E2,3.8281E1
5.3000E2,3.8899E1
5.3100E2,3.9133E1
5.3200E2,3.8143E1
5.3300E2,3.6098E1
5.3400E2,3.6430E1
5.3500E2,3.8909E1
5.3600E2,3.8567E1
5.3700E2,3.8239E1
5.3800E2,3.8093E1
5.3900E2,3.8092E1
5.4000E2,3.8333E1
5.4100E2,3.9333E1
5.4200E2,4.4469E1
5.4300E2,4.2650E1
5.4400E2,4.0494E1
5.4500E2,4.3573E1
5.4600E2,3.8418E1
5.4700E2,3.6583E1
5.4800E2,3.6502E1
5.4900E2,3.8405E1
5.5000E2,3.8240E1
5.5100E2,3.9728E1
5.5200E2,4.1455E1
5.5300E2,4.2000E1
5.5400E2,3.7909E1
5.5500E2,3.7960E1
5.5600E2,3.8485E1
5.5700E2,4.0522E1
5.5800E2,4.1595E1
5.5900E2,4.2315E1
5.6000E2,4.1459E1
5.6100E2,4.2257E1
5.6200E2,4.1067E1
5.6300E2,4.1466E1
5.6400E2,4.1797E1
5.6500E2,4.4552E1
5.6600E2,4.2270E1
5.6700E2,4.3285E1
5.6800E2,4.7757E1
5.6900E2,4.6796E1
5.7000E2,4.2941E1
5.7100E2,4.0782E1
5.7200E2,4.2610E1
5.7300E2,4.1778E1
5.7400E2,4.2116E1
5.7500E2,4.4133E1
5.7600E2,4.5321E1
5.7700E2,4.3873E1
5.7800E2,4.0516E1
5.7900E2,3.8853E1
5.8000E2,3.7475E1
5.8100E2,3.7765E1
5.8200E2,3.8587E1
